Model,Accuracy,Accuracy_CI_low,Accuracy_CI_high,F1,F1_CI_low,F1_CI_high,n_test_rows
Dummy Majority Baseline,0.5225753648888283,0.5143909425726367,0.530896194243623,0.6864361225586812,0.6793370563862368,0.6935756927737682,14662
SVM RBF,0.905810939844496,0.9010366934933842,0.9103123721184013,0.9094485607501147,0.9047309563075727,0.913799773236916,14662
Random Forest,0.9568271722820898,0.9534851998363115,0.9602373482471696,0.9587541539063009,0.9555149058510223,0.9620473640135867,14662
Logistic Regression,0.9009684899740826,0.896194243622971,0.9057427363251944,0.9054441260744985,0.9006570302233903,0.91008586036123,14662
