Threshold,Precision,Recall,F1,F2,False Positives,False Negatives,True Positives,True Negatives,Alerts
0.1,0.8256658595641646,1.0,0.9045092838196287,0.9594822734946539,72,0,341,198,413
0.3,0.8947368421052632,0.9970674486803519,0.9431345353675451,0.9747706422018348,40,1,340,230,380
0.5,0.985207100591716,0.9765395894428153,0.9808541973490427,0.9782608695652174,5,8,333,265,338
0.7,0.987460815047022,0.9237536656891495,0.9545454545454546,0.9358288770053476,4,26,315,266,319
0.9,0.993006993006993,0.8328445747800587,0.9059011164274322,0.8606060606060606,2,57,284,268,286
