Experiment,Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP
Deduplicated split (random),Random Forest,0.9627039627039627,0.9728506787330317,0.9555555555555556,0.9641255605381166,0.9589652096342551,0.9254585197304296,0.9939106753812635,0.9950711820993589,198,6,10,215
Deduplicated split (random),Logistic Regression,0.958041958041958,0.96,0.96,0.96,0.96,0.9158823529411765,0.9936710239651416,0.9945002864547418,195,9,9,216
Deduplicated split (random),SVM RBF,0.958041958041958,0.9769585253456221,0.9422222222222222,0.9592760180995475,0.9489704565801254,0.9166745075385424,0.9934967320261439,0.9945838111040329,199,5,13,212
Deduplicated split (random),Dummy Majority Baseline,0.5244755244755245,0.5244755244755245,1.0,0.6880733944954128,0.8465011286681715,0.0,0.5,0.5244755244755245,0,204,0,225
