Experiment,Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP
"Grouped split (duplicate-safe, GroupShuffleSplit)",Random Forest,0.9787234042553191,0.985207100591716,0.9765395894428153,0.9808541973490427,0.9782608695652174,0.9569614851470533,0.9964809384164223,0.9971068564131861,265,5,8,333
"Grouped split (duplicate-safe, GroupShuffleSplit)",SVM RBF,0.9574468085106383,0.9701492537313433,0.9530791788856305,0.9615384615384616,0.9564449676280165,0.9141081489735208,0.9950689692625176,0.9961743911152466,260,10,16,325
"Grouped split (duplicate-safe, GroupShuffleSplit)",Logistic Regression,0.9378068739770867,0.9391304347826087,0.9501466275659824,0.9446064139941691,0.9479227618490346,0.873793591632123,0.9923210600629956,0.9942503230029694,249,21,17,324
"Grouped split (duplicate-safe, GroupShuffleSplit)",Dummy Majority Baseline,0.55810147299509,0.55810147299509,1.0,0.7163865546218487,0.8632911392405064,0.0,0.5,0.55810147299509,0,270,0,341
