Experiment,Accuracy,Precision,Recall,F1,MCC,ROC_AUC,PR_AUC,FP,FN
"Original-style split (random, with duplicates)",0.9739413680781759,0.9656160458452722,0.9882697947214076,0.9768115942028985,0.9474126437761877,0.9950855596016887,0.9959693292227344,12,4
Deduplicated split (random),0.9627039627039627,0.9728506787330317,0.9555555555555556,0.9641255605381166,0.9254585197304296,0.9939106753812635,0.9950711820993589,6,10
"Grouped split (duplicate-safe, GroupShuffleSplit)",0.9787234042553191,0.985207100591716,0.9765395894428153,0.9808541973490427,0.9569614851470533,0.9964809384164223,0.9971068564131861,5,8
