Experiment,Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP
"Newer dataset (2020 full dataset, different numeric schema)",Random Forest,0.9568271722820898,0.9573194534808067,0.960193161054555,0.9587541539063009,0.9596170401481752,0.9134701940928905,0.9919065611365925,0.9924755879349539,6672,328,305,7357
"Newer dataset (2020 full dataset, different numeric schema)",SVM RBF,0.905810939844496,0.9138226380287258,0.905116157661185,0.9094485607501147,0.906844156183801,0.8113624271800535,0.9058437931163068,0.8766995934486285,6346,654,727,6935
"Newer dataset (2020 full dataset, different numeric schema)",Logistic Regression,0.9009684899740826,0.9035612165323629,0.9073348995040459,0.9054441260744985,0.9065776433154243,0.8015008536926661,0.9618339859044636,0.9641898651223397,6258,742,710,6952
"Newer dataset (2020 full dataset, different numeric schema)",Dummy Majority Baseline,0.5225753648888283,0.5225753648888283,1.0,0.6864361225586812,0.8455087177223571,0.0,0.5,0.5225753648888283,0,7000,0,7662
