Threshold,Precision,Recall,F1,F2,False Positives,False Negatives,True Positives,True Negatives,Alerts
0.1,0.8391089108910891,0.9941348973607038,0.9100671140939597,0.958710407239819,65,2,339,208,404
0.3,0.9287671232876712,0.9941348973607038,0.9603399433427762,0.9803354540196646,26,2,339,247,365
0.5,0.9656160458452722,0.9882697947214076,0.9768115942028985,0.9836544074722708,12,4,337,261,349
0.7,0.9850299401197605,0.9648093841642229,0.9748148148148148,0.9687868080094229,5,12,329,268,334
0.9,0.98989898989899,0.8621700879765396,0.9216300940438872,0.885009030704395,3,47,294,270,297
