Model,Accuracy,Precision,Recall,F1,F2,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP
Random Forest,0.9739413680781759,0.9656160458452722,0.9882697947214076,0.9768115942028985,0.9836544074722708,0.9474126437761877,0.9950855596016887,0.9959693292227344,261,12,4,337
SVM RBF,0.9674267100977199,0.967930029154519,0.9736070381231672,0.9707602339181286,0.9724663151728178,0.9340165829927317,0.993538719345171,0.9954167223230826,262,11,9,332
Logistic Regression,0.9478827361563518,0.9426934097421203,0.9648093841642229,0.9536231884057971,0.9603035610040864,0.8944750502848656,0.9931197834423641,0.9946546110527352,253,20,12,329
Dummy Majority Baseline,0.5553745928338762,0.5553745928338762,1.0,0.7141361256544503,0.8619817997977756,0.0,0.5,0.5553745928338762,0,273,0,341
